,merge.labels.M3,Lung,Liver,Right Ovary,Left Ovary,Adrenal
218,bar|458 4631,2023,0,0,0,0
219,bar|461 6113,464,0,0,0,0
220,bar|466 10613,52,0,0,0,0
221,bar|467 1527,163,0,0,0,0
222,bar|467 1781,2,0,0,0,0
223,bar|467 9293,3,0,0,0,0
224,bar|467 15732,418,0,0,0,0
225,bar|469 1299,1,0,0,0,0
226,bar|469 7285,1,0,0,0,0
227,bar|469 12692,15964,0,1,0,0
228,bar|474 10071,1108,1,0,0,0
229,bar|477 60,1,0,0,0,0
230,bar|477 312,577,0,0,0,0
231,bar|479 9288,1,0,0,0,0
232,bar|479 9292,1,0,0,0,0
233,bar|479 9544,13531,0,0,0,0
234,bar|480 10384,88,0,0,0,0
235,bar|483 6404,329,3,0,0,0
236,bar|487 5980,5958,0,0,0,0
237,bar|491 10514,859,0,0,0,0
238,bar|496 11027,1,0,0,0,0
239,bar|496 11382,1461,0,0,0,0
240,bar|501 2051,38,0,831,8,2
241,bar|507 3687,47,0,662,7,2
242,bar|509 4657,3,0,0,0,0
243,bar|512 6315,5,0,0,0,0
244,bar|513 2598,5,0,0,0,0
245,bar|522 503,3,5,0,0,0
246,bar|528 34,1,0,0,0,0
247,bar|529 13364,4,0,0,0,0
248,bar|532 34,14008,0,0,1,0
249,bar|532 9346,2,0,0,0,1
250,bar|533 7701,10,0,0,0,0
251,bar|533 9210,54,0,0,0,0
252,bar|533 9252,109,0,0,0,0
253,bar|533 9707,15,0,0,0,0
254,bar|541 1859,2264,0,0,0,0
255,bar|541 2408,1437,0,0,0,0
256,bar|541 5556,1,0,0,0,0
257,bar|548 318,1,0,0,0,0
258,bar|548 450,2002,13,0,0,0
259,bar|548 829,41229,0,0,1,0
260,bar|548 1504,2,0,0,0,0
261,bar|548 11501,81,2,3034,41,187
262,bar|548 11570,1,0,0,0,0
263,bar|549 13873,493,0,0,0,0
264,bar|550 4182,748,0,0,0,0
265,bar|551 3620,26,0,0,0,0
266,bar|553 8693,112,0,359,6,0
267,bar|553 11073,130,0,0,0,0
268,bar|555 7711,1,0,0,0,0
269,bar|556 2551,258,0,0,0,0
270,bar|556 11637,481,0,0,0,0
271,bar|556 13934,150,0,4340,83,590
272,bar|558 4637,189,235023,2,24,359
273,bar|569 4231,1,0,0,0,0
274,bar|571 4483,16580,0,1,0,0
275,bar|577 2704,10,0,0,8,0
276,bar|577 5927,1280,0,0,0,0
277,bar|577 8337,1,0,0,0,0
278,bar|577 13744,117,70710,52,15,257
279,bar|577 13896,1047,0,0,0,0
280,bar|577 14958,9,0,1,0,0
281,bar|584 3643,3,0,0,0,0
282,bar|588 4369,23,0,0,0,0
